name,frame,ra,dec,band_idx,wavelength,receiver,flux_jy,uvmin_kl,uvmax_kl,cfg_A,cfg_B,cfg_C,cfg_D
1310+323,J2000,13h10m28.663845s,"32d20'43.782950""",1,6cm,C,3.5,,,P,P,P,P
1310+323,J2000,13h10m28.663845s,"32d20'43.782950""",2,3.7cm,X,4.13,,,P,P,P,P
1310+323,J2000,13h10m28.663845s,"32d20'43.782950""",3,2cm,U,2.3,,,P,P,P,P
1310+323,J2000,13h10m28.663845s,"32d20'43.782950""",4,1.3cm,K,3.34,,,P,P,P,P
1310+323,J2000,13h10m28.663845s,"32d20'43.782950""",5,0.7cm,Q,0.94,,,S,S,S,S
1310+468,J2000,13h10m53.591557s,"46d53'52.217940""",0,20cm,L,0.11,,,X,X,X,X
1310+468,J2000,13h10m53.591557s,"46d53'52.217940""",1,6cm,C,0.19,,,W,W,W,W
1310+468,J2000,13h10m53.591557s,"46d53'52.217940""",2,3.7cm,X,0.36,,,S,S,S,S
1310+468,J2000,13h10m53.591557s,"46d53'52.217940""",3,0.7cm,Q,0.13,,,W,W,W,W
1310+325,J2000,13h10m59.402725s,"32d33'34.449560""",0,2cm,U,0.5,,,S,S,S,S
1310+325,J2000,13h10m59.402725s,"32d33'34.449560""",1,0.7cm,Q,0.4,,,W,W,W,W
1311+552,J2000,13h11m03.210944s,"55d13'54.320880""",0,20cm,L,0.34,20.0,,S,S,X,X
1311+552,J2000,13h11m03.210944s,"55d13'54.320880""",1,6cm,C,0.52,20.0,,S,S,S,X
1311+552,J2000,13h11m03.210944s,"55d13'54.320880""",2,3.7cm,X,0.51,20.0,,S,S,S,X
1311+552,J2000,13h11m03.210944s,"55d13'54.320880""",3,0.7cm,Q,0.26,,,W,W,W,W
1311-222,J2000,13h11m39.3347s,"-22d16'41.748""",0,90cm,P,25.0,,20.0,S,S,S,S
1311-222,J2000,13h11m39.3347s,"-22d16'41.748""",1,20cm,L,5.3,,20.0,X,X,S,P
1311-222,J2000,13h11m39.3347s,"-22d16'41.748""",2,6cm,C,1.2,,20.0,X,X,X,S
1311-222,J2000,13h11m39.3347s,"-22d16'41.748""",3,2cm,U,0.0,,,X,X,X,X
1311-222,J2000,13h11m39.3347s,"-22d16'41.748""",4,0.7cm,Q,0.0,,,X,X,X,X
1312+484,J2000,13h12m43.3510s,"48d28'30.932""",0,0.7cm,Q,0.31,,,W,W,W,W
1313+675,J2000,13h13m27.9848s,"67d35'50.376""",0,20cm,L,2.4,,,P,P,P,P
1313+675,J2000,13h13m27.9848s,"67d35'50.376""",1,6cm,C,0.9,,200.0,S,P,P,P
1313+675,J2000,13h13m27.9848s,"67d35'50.376""",2,3.7cm,X,0.6,,200.0,X,S,P,P
1313+675,J2000,13h13m27.9848s,"67d35'50.376""",3,2cm,U,0.3,,200.0,X,X,S,S
1313+675,J2000,13h13m27.9848s,"67d35'50.376""",4,0.7cm,Q,0.0,,,X,X,X,X
1313+549,J2000,13h13m37.852959s,"54d58'23.894700""",0,20cm,L,1.31,6.0,,P,P,S,X
1313+549,J2000,13h13m37.852959s,"54d58'23.894700""",1,6cm,C,0.53,,,S,S,S,S
1313+549,J2000,13h13m37.852959s,"54d58'23.894700""",2,3.7cm,X,0.3,,,S,S,S,S
1313+549,J2000,13h13m37.852959s,"54d58'23.894700""",3,0.7cm,Q,0.0,,,X,X,X,X
1314+531,J2000,13h14m43.830614s,"53d06'27.730170""",0,20cm,L,0.26,20.0,,S,S,X,X
1314+531,J2000,13h14m43.830614s,"53d06'27.730170""",1,6cm,C,0.46,,,S,S,S,S
1314+531,J2000,13h14m43.830614s,"53d06'27.730170""",2,3.7cm,X,0.3,,,S,S,S,S
1314+531,J2000,13h14m43.830614s,"53d06'27.730170""",3,0.7cm,Q,0.0,,,X,X,X,X
1315+123,J2000,13h15m01.8531s,"12d20'52.635""",0,0.7cm,Q,0.11,,,W,W,W,W
1316-336,J2000,13h16m07.985939s,"-33d38'59.172500""",0,20cm,L,1.6,,,P,P,P,S
1316-336,J2000,13h16m07.985939s,"-33d38'59.172500""",1,6cm,C,1.4,,,P,P,P,P
1316-336,J2000,13h16m07.985939s,"-33d38'59.172500""",2,3.7cm,X,1.12,,,P,P,P,P
1316-336,J2000,13h16m07.985939s,"-33d38'59.172500""",3,2cm,U,1.2,,,P,P,P,P
1316-336,J2000,13h16m07.985939s,"-33d38'59.172500""",4,0.7cm,Q,2.7,,,S,S,S,S
1317+344,J2000,13h17m36.494189s,"34d25'15.932660""",0,20cm,L,0.5,,,X,X,X,X
1317+344,J2000,13h17m36.494189s,"34d25'15.932660""",1,6cm,C,0.34,,,X,X,X,X
1317+344,J2000,13h17m36.494189s,"34d25'15.932660""",2,3.7cm,X,0.35,,,X,X,X,X
1317+344,J2000,13h17m36.494189s,"34d25'15.932660""",3,2cm,U,0.3,,,W,W,W,W
1317+344,J2000,13h17m36.494189s,"34d25'15.932660""",4,1.3cm,K,0.33,,,W,W,W,W
1317+344,J2000,13h17m36.494189s,"34d25'15.932660""",5,0.7cm,Q,0.3,,,W,W,W,W
1319+518,J2000,13h19m46.1960s,"51d48'05.762""",0,0.7cm,Q,0.27,,,W,W,W,W
1321+222,J2000,13h21m11.2014s,"22d16'12.092""",0,0.7cm,Q,0.32,,,W,W,W,W
1321+111,J2000,13h21m18.8121s,"11d06'49.504""",0,90cm,P,7.0,1.0,7.0,X,S,S,X
1321+111,J2000,13h21m18.8121s,"11d06'49.504""",1,20cm,L,2.2,,6.0,X,X,X,S
1321+832,J2000,13h21m45.609537s,"83d16'13.422910""",0,20cm,L,0.5,20.0,,S,S,X,X
1321+832,J2000,13h21m45.609537s,"83d16'13.422910""",1,6cm,C,0.34,,,S,S,S,S
1321+832,J2000,13h21m45.609537s,"83d16'13.422910""",2,3.7cm,X,0.3,,,S,S,S,S
1321+832,J2000,13h21m45.609537s,"83d16'13.422910""",3,0.7cm,Q,0.14,,,W,W,W,W
1322+218,J2000,13h22m11.4027s,"21d48'12.276""",0,0.7cm,Q,0.16,,,W,W,W,W
1323-448,J2000,13h23m04.246182s,"-44d52'33.853400""",0,20cm,L,3.0,1.0,,P,P,P,P
1323-448,J2000,13h23m04.246182s,"-44d52'33.853400""",1,6cm,C,1.1,,300.0,S,P,P,P
1323-448,J2000,13h23m04.246182s,"-44d52'33.853400""",2,3.7cm,X,0.6,,300.0,X,S,P,P
1323-448,J2000,13h23m04.246182s,"-44d52'33.853400""",3,2cm,U,0.3,,300.0,X,S,S,S
1323-448,J2000,13h23m04.246182s,"-44d52'33.853400""",4,0.7cm,Q,0.0,,,X,X,X,X
1323+797,J2000,13h23m51.569786s,"79d42'51.847060""",0,20cm,L,0.61,,60.0,S,S,S,S
1323+797,J2000,13h23m51.569786s,"79d42'51.847060""",1,6cm,C,0.56,,,S,S,S,S
1323+797,J2000,13h23m51.569786s,"79d42'51.847060""",2,3.7cm,X,0.56,,,P,P,P,P
1323+797,J2000,13h23m51.569786s,"79d42'51.847060""",3,2cm,U,0.6,,,S,S,S,S
1323+797,J2000,13h23m51.569786s,"79d42'51.847060""",4,0.7cm,Q,0.26,,,W,W,W,W
1324+408,J2000,13h24m12.095601s,"40d48'11.763510""",0,20cm,L,0.38,6.0,,S,S,X,X
1324+408,J2000,13h24m12.095601s,"40d48'11.763510""",1,6cm,C,0.42,,,S,S,S,S
1324+408,J2000,13h24m12.095601s,"40d48'11.763510""",2,3.7cm,X,0.25,,,S,S,S,S
1324+408,J2000,13h24m12.095601s,"40d48'11.763510""",3,0.7cm,Q,0.0,,,X,X,X,X
1324+477,J2000,13h24m29.3413s,"47d43'20.624""",0,0.7cm,Q,0.1,,,W,W,W,W
1326+319,J2000,13h26m16.512212s,"31d54'09.515380""",0,90cm,P,7.0,7.0,,S,S,X,X
1326+319,J2000,13h26m16.512212s,"31d54'09.515380""",1,20cm,L,4.8,6.0,,P,S,S,X
1326+319,J2000,13h26m16.512212s,"31d54'09.515380""",2,6cm,C,2.4,,300.0,S,P,P,P
1326+319,J2000,13h26m16.512212s,"31d54'09.515380""",3,3.7cm,X,1.6,,300.0,X,S,P,P
1326+319,J2000,13h26m16.512212s,"31d54'09.515380""",4,2cm,U,1.0,,300.0,X,S,S,S
1326+319,J2000,13h26m16.512212s,"31d54'09.515380""",5,0.7cm,Q,0.5,,,W,W,W,W
1326+572,J2000,13h26m50.5710s,"57d12'06.734""",0,0.7cm,Q,0.13,,,W,W,W,W
1327+221,J2000,13h27m00.861311s,"22d10'50.163060""",0,20cm,L,1.02,10.0,,P,P,S,X
1327+221,J2000,13h27m00.861311s,"22d10'50.163060""",1,6cm,C,1.5,,,P,P,P,P
1327+221,J2000,13h27m00.861311s,"22d10'50.163060""",2,3.7cm,X,1.77,,,P,P,P,P
1327+221,J2000,13h27m00.861311s,"22d10'50.163060""",3,2cm,U,1.6,,,P,P,P,P
1327+221,J2000,13h27m00.861311s,"22d10'50.163060""",4,1.3cm,K,1.47,,,P,P,P,P
1327+221,J2000,13h27m00.861311s,"22d10'50.163060""",5,0.7cm,Q,0.9,,,S,S,S,S
1327+434,J2000,13h27m20.978998s,"43d26'27.989340""",0,20cm,L,0.64,6.0,,S,S,,X
1327+434,J2000,13h27m20.978998s,"43d26'27.989340""",1,6cm,C,0.51,,,S,S,S,S
1327+434,J2000,13h27m20.978998s,"43d26'27.989340""",2,3.7cm,X,0.46,,,S,S,S,S
1327+434,J2000,13h27m20.978998s,"43d26'27.989340""",3,0.7cm,Q,0.13,,,W,W,W,W
1329+501,J2000,13h29m05.8004s,"50d09'26.407""",0,0.7cm,Q,0.14,,,W,W,W,W
1329+319,J2000,13h29m52.864930s,"31d54'11.055010""",0,2cm,U,1.4,,,P,P,P,P
1329+319,J2000,13h29m52.864930s,"31d54'11.055010""",1,0.7cm,Q,0.9,,,S,S,S,S
1330+251,J2000,13h30m37.6892s,"25d09'10.978""",0,90cm,P,15.0,,,S,S,S,S
1330+251,J2000,13h30m37.6892s,"25d09'10.978""",1,20cm,L,6.8,,,P,P,P,P
1330+251,J2000,13h30m37.6892s,"25d09'10.978""",2,6cm,C,3.3,,200.0,X,S,P,P
1330+251,J2000,13h30m37.6892s,"25d09'10.978""",3,3.7cm,X,2.2,,200.0,X,S,P,P
1330+251,J2000,13h30m37.6892s,"25d09'10.978""",4,2cm,U,1.6,,200.0,X,X,S,P
1330+251,J2000,13h30m37.6892s,"25d09'10.978""",5,0.7cm,Q,0.6,,,,,W,W
1331+305,J2000,13h31m08.287984s,"30d30'32.958850""",0,90cm,P,26.0,,,S,S,S,S
1331+305,J2000,13h31m08.287984s,"30d30'32.958850""",1,20cm,L,15.0,,,S,S,P,P
1331+305,J2000,13h31m08.287984s,"30d30'32.958850""",2,6cm,C,7.47,,,S,S,S,P
1331+305,J2000,13h31m08.287984s,"30d30'32.958850""",3,3.7cm,X,5.23,,400.0,S,P,P,P
1331+305,J2000,13h31m08.287984s,"30d30'32.958850""",4,2cm,U,3.4,,,S,S,S,S
1331+305,J2000,13h31m08.287984s,"30d30'32.958850""",5,1.3cm,K,2.59,,,X,S,S,P
1331+305,J2000,13h31m08.287984s,"30d30'32.958850""",6,0.7cm,Q,1.45,,300.0,X,S,P,P
1332+473,J2000,13h32m45.2444s,"47d22'22.664""",0,0.7cm,Q,0.34,,,W,W,W,W
1335+457,J2000,13h35m21.962238s,"45d42'38.231340""",0,20cm,L,0.25,,,,,X,X
1335+457,J2000,13h35m21.962238s,"45d42'38.231340""",1,3.7cm,X,0.57,,,P,P,P,P
1335+457,J2000,13h35m21.962238s,"45d42'38.231340""",2,0.7cm,Q,0.12,,,W,W,W,W
1335+587,J2000,13h35m25.928464s,"58d44'00.291200""",0,20cm,L,0.29,,,X,X,X,X
1335+587,J2000,13h35m25.928464s,"58d44'00.291200""",1,3.7cm,X,0.67,,,P,P,P,P
1335+587,J2000,13h35m25.928464s,"58d44'00.291200""",2,0.7cm,Q,0.23,,,W,W,W,W
1337-129,J2000,13h37m39.782780s,"-12d57'24.693230""",0,20cm,L,1.9,60.0,3.0,P,X,X,P
1337-129,J2000,13h37m39.782780s,"-12d57'24.693230""",1,6cm,C,4.3,,,P,P,P,P
1337-129,J2000,13h37m39.782780s,"-12d57'24.693230""",2,3.7cm,X,4.3,,,P,P,P,P
1337-129,J2000,13h37m39.782780s,"-12d57'24.693230""",3,2cm,U,3.0,,,S,S,S,S
1337-129,J2000,13h37m39.782780s,"-12d57'24.693230""",4,0.7cm,Q,7.0,,,S,S,S,S
1337+550,J2000,13h37m49.642234s,"55d01'02.117800""",0,20cm,L,0.7,,,X,X,,
1337+550,J2000,13h37m49.642234s,"55d01'02.117800""",1,6cm,C,0.45,,20.0,X,X,X,S
1337+550,J2000,13h37m49.642234s,"55d01'02.117800""",2,3.7cm,X,0.53,,20.0,X,X,X,S
1337+550,J2000,13h37m49.642234s,"55d01'02.117800""",3,0.7cm,Q,0.28,,,W,W,W,W
1338-064,J2000,13h38m08.0700s,"-06d27'11.200""",0,90cm,P,12.0,,1.5,X,X,S,S
1338-064,J2000,13h38m08.0700s,"-06d27'11.200""",1,20cm,L,3.1,,1.5,X,X,X,S
1338-064,J2000,13h38m08.0700s,"-06d27'11.200""",2,6cm,C,0.0,,,X,X,X,X
1338-064,J2000,13h38m08.0700s,"-06d27'11.200""",3,2cm,U,0.0,,,X,X,X,X
1338+388,J2000,13h38m49.7797s,"38d51'11.850""",0,90cm,P,12.0,,2.0,X,X,S,S
1338+388,J2000,13h38m49.7797s,"38d51'11.850""",1,20cm,L,3.3,,2.0,X,X,X,S
1339-263,J2000,13h39m19.890748s,"-26d20'30.495900""",0,20cm,L,0.5,6.0,,S,S,S,X
1339-263,J2000,13h39m19.890748s,"-26d20'30.495900""",1,6cm,C,0.6,,,S,S,S,S
1339-263,J2000,13h39m19.890748s,"-26d20'30.495900""",2,3.7cm,X,0.71,,,P,P,P,P
1339-263,J2000,13h39m19.890748s,"-26d20'30.495900""",3,2cm,U,0.5,,,S,S,S,S
1339-263,J2000,13h39m19.890748s,"-26d20'30.495900""",4,0.7cm,Q,0.21,,,W,W,W,W
1339+634,J2000,13h39m23.783056s,"63d28'58.425220""",0,20cm,L,0.5,6.0,,S,S,,X
1339+634,J2000,13h39m23.783056s,"63d28'58.425220""",1,6cm,C,0.37,,,S,S,S,S
1339+634,J2000,13h39m23.783056s,"63d28'58.425220""",2,3.7cm,X,0.27,,,S,S,S,S
1339+634,J2000,13h39m23.783056s,"63d28'58.425220""",3,0.7cm,Q,0.0,,,X,X,X,X
1340+379,J2000,13h40m22.951801s,"37d54'43.833640""",0,20cm,L,0.28,10.0,,S,S,X,X
1340+379,J2000,13h40m22.951801s,"37d54'43.833640""",1,6cm,C,0.2,,,W,W,W,W
1340+379,J2000,13h40m22.951801s,"37d54'43.833640""",2,3.7cm,X,0.16,,,S,S,S,S
1340+379,J2000,13h40m22.951801s,"37d54'43.833640""",3,2cm,U,0.1,,,X,X,X,X
1340+379,J2000,13h40m22.951801s,"37d54'43.833640""",4,1.3cm,K,0.05,,,X,X,X,X
1340+379,J2000,13h40m22.951801s,"37d54'43.833640""",5,0.7cm,Q,0.0,,,X,X,X,X
1341+282,J2000,13h41m15.2847s,"28d16'05.111""",0,0.7cm,Q,0.28,,,W,W,W,W
1342+271,J2000,13h42m08.3772s,"27d09'30.625""",0,0.7cm,Q,0.33,,,W,W,W,W
1342+603,J2000,13h42m13.0249s,"60d21'42.485""",0,20cm,L,1.4,,4.0,X,X,X,S
1342+603,J2000,13h42m13.0249s,"60d21'42.485""",1,6cm,C,0.0,,,X,X,X,X
1342+603,J2000,13h42m13.0249s,"60d21'42.485""",2,2cm,U,0.0,,,X,X,X,X
1343+287,J2000,13h43m00.1795s,"28d44'07.497""",0,0.7cm,Q,0.11,,,W,W,W,W
1344+661,J2000,13h44m08.679674s,"66d06'11.643810""",0,2cm,U,0.8,,,S,S,S,S
1344+661,J2000,13h44m08.679674s,"66d06'11.643810""",1,0.7cm,Q,0.4,,,W,W,W,W
1344+141,J2000,13h44m23.7421s,"14d09'14.856""",0,20cm,L,1.2,,70.0,S,S,S,S
1344+141,J2000,13h44m23.7421s,"14d09'14.856""",1,6cm,C,0.35,,100.0,X,S,S,S
1344+141,J2000,13h44m23.7421s,"14d09'14.856""",2,3.7cm,X,0.18,,100.0,X,X,S,S
1344+141,J2000,13h44m23.7421s,"14d09'14.856""",3,2cm,U,0.0,,,X,X,X,X
1345+497,J2000,13h45m26.3742s,"49d46'32.924""",0,20cm,L,2.4,,3.0,X,X,X,S
1345+497,J2000,13h45m26.3742s,"49d46'32.924""",1,6cm,C,0.0,,,X,X,X,X
1345+497,J2000,13h45m26.3742s,"49d46'32.924""",2,2cm,U,0.0,,,X,X,X,X
1347-080,J2000,13h47m01.5230s,"-08d03'23.840""",0,20cm,L,1.8,,3.0,X,X,X,S
1347-080,J2000,13h47m01.5230s,"-08d03'23.840""",1,6cm,C,0.0,,,X,X,X,X
1347-080,J2000,13h47m01.5230s,"-08d03'23.840""",2,2cm,U,0.0,,,X,X,X,X
1347+122,J2000,13h47m33.361645s,"12d17'24.238900""",0,90cm,P,8.0,1.0,,S,S,S,X
1347+122,J2000,13h47m33.361645s,"12d17'24.238900""",1,20cm,L,5.2,,,P,P,P,P
1347+122,J2000,13h47m33.361645s,"12d17'24.238900""",2,6cm,C,2.9,,200.0,S,P,P,P
1347+122,J2000,13h47m33.361645s,"12d17'24.238900""",3,3.7cm,X,2.3,,200.0,X,S,P,P
1347+122,J2000,13h47m33.361645s,"12d17'24.238900""",4,2cm,U,1.6,,200.0,X,X,S,P
1347+122,J2000,13h47m33.361645s,"12d17'24.238900""",5,0.7cm,Q,0.51,,,,,W,W
1349+536,J2000,13h49m34.656623s,"53d41'17.040280""",0,20cm,L,1.1,15.0,,S,S,X,X
1349+536,J2000,13h49m34.656623s,"53d41'17.040280""",1,6cm,C,0.9,,,P,P,P,P
1349+536,J2000,13h49m34.656623s,"53d41'17.040280""",2,3.7cm,X,0.67,,200.0,X,S,P,P
1349+536,J2000,13h49m34.656623s,"53d41'17.040280""",3,2cm,U,0.7,,,S,S,S,S
1349+536,J2000,13h49m34.656623s,"53d41'17.040280""",4,0.7cm,Q,0.5,,,W,W,W,W
1349-393,J2000,13h49m51.1675s,"-39d22'50.268""",0,90cm,P,7.0,4.0,12.0,S,S,S,X
1349-393,J2000,13h49m51.1675s,"-39d22'50.268""",1,20cm,L,1.7,4.0,12.0,X,X,S,X
1349-393,J2000,13h49m51.1675s,"-39d22'50.268""",2,6cm,C,0.0,,,X,X,X,X
1349-393,J2000,13h49m51.1675s,"-39d22'50.268""",3,2cm,U,0.0,,,X,X,X,X
1350+305,J2000,13h50m52.736206s,"30d34'53.590510""",0,2cm,U,0.4,,,W,W,W,W
1350+305,J2000,13h50m52.736206s,"30d34'53.590510""",1,0.7cm,Q,0.3,,,W,W,W,W
1351-148,J2000,13h51m52.649611s,"-14d49'14.555740""",0,20cm,L,1.2,,,P,P,P,S
1351-148,J2000,13h51m52.649611s,"-14d49'14.555740""",1,6cm,C,0.8,,,P,P,P,P
1351-148,J2000,13h51m52.649611s,"-14d49'14.555740""",2,3.7cm,X,1.0,,,P,P,P,P
1351-148,J2000,13h51m52.649611s,"-14d49'14.555740""",3,2cm,U,0.4,,,S,S,S,S
1351-148,J2000,13h51m52.649611s,"-14d49'14.555740""",4,0.7cm,Q,0.24,,,W,W,W,W
1352+314,J2000,13h52m17.8407s,"31d26'46.680""",0,90cm,P,9.0,3.0,20.0,S,S,X,X
1352+314,J2000,13h52m17.8407s,"31d26'46.680""",1,20cm,L,3.5,6.0,20.0,X,S,S,X
1352-442,J2000,13h52m56.534916s,"-44d12'40.387480""",0,20cm,L,0.4,20.0,,S,S,X,X
1352-442,J2000,13h52m56.534916s,"-44d12'40.387480""",1,6cm,C,0.5,,,S,S,S,S
1352-442,J2000,13h52m56.534916s,"-44d12'40.387480""",2,3.7cm,X,0.65,,,P,P,P,P
1352-442,J2000,13h52m56.534916s,"-44d12'40.387480""",3,0.7cm,Q,0.31,,,W,W,W,W
1353+145,J2000,13h53m22.8397s,"14d35'39.260""",0,0.7cm,Q,0.1,,,W,W,W,W
1353+755,J2000,13h53m23.1577s,"75d32'57.700""",0,0.7cm,Q,0.19,,,W,W,W,W
1354-021,J2000,13h54m06.895319s,"-02d06'03.190510""",0,20cm,L,0.8,,,P,P,P,P
1354-021,J2000,13h54m06.895319s,"-02d06'03.190510""",1,6cm,C,0.9,,,P,P,P,P
1354-021,J2000,13h54m06.895319s,"-02d06'03.190510""",2,3.7cm,X,0.78,,,P,P,P,P
1354-021,J2000,13h54m06.895319s,"-02d06'03.190510""",3,2cm,U,0.6,,,S,S,S,S
1354-021,J2000,13h54m06.895319s,"-02d06'03.190510""",4,0.7cm,Q,0.4,,,W,W,W,W
1354-106,J2000,13h54m46.5118s,"-10d41'02.652""",0,20cm,L,0.58,,,X,X,X,X
1354-106,J2000,13h54m46.5118s,"-10d41'02.652""",1,6cm,C,0.78,,,X,X,X,X
1354-106,J2000,13h54m46.5118s,"-10d41'02.652""",2,2cm,U,1.99,,,,,S,S
1356-343,J2000,13h56m05.3836s,"-34d21'10.824""",0,20cm,L,0.68,40.0,,S,X,X,X
1356-343,J2000,13h56m05.3836s,"-34d21'10.824""",1,6cm,C,0.78,20.0,,S,S,S,X
1356-343,J2000,13h56m05.3836s,"-34d21'10.824""",2,3.7cm,X,0.69,,,P,P,P,P
1356-343,J2000,13h56m05.3836s,"-34d21'10.824""",3,2cm,U,0.6,,,S,S,S,S
1356-343,J2000,13h56m05.3836s,"-34d21'10.824""",4,0.7cm,Q,0.24,,,W,W,W,W
1357+193,J2000,13h57m04.436656s,"19d19'07.372340""",0,20cm,L,1.6,50.0,,S,X,X,X
1357+193,J2000,13h57m04.436656s,"19d19'07.372340""",1,6cm,C,1.3,30.0,,S,S,S,X
1357+193,J2000,13h57m04.436656s,"19d19'07.372340""",2,3.7cm,X,1.55,30.0,,S,S,S,X
1357+193,J2000,13h57m04.436656s,"19d19'07.372340""",3,2cm,U,1.3,,,S,S,S,S
1357+193,J2000,13h57m04.436656s,"19d19'07.372340""",4,0.7cm,Q,2.1,,,S,S,S,S
1357-177,J2000,13h57m06.074200s,"-17d44'01.904130""",0,20cm,L,1.4,,,S,S,X,X
1357-177,J2000,13h57m06.074200s,"-17d44'01.904130""",1,6cm,C,1.0,,,P,P,P,P
1357-177,J2000,13h57m06.074200s,"-17d44'01.904130""",2,3.7cm,X,0.69,,,P,P,P,P
1357-177,J2000,13h57m06.074200s,"-17d44'01.904130""",3,2cm,U,0.4,,,S,S,S,S
1357-177,J2000,13h57m06.074200s,"-17d44'01.904130""",4,0.7cm,Q,0.6,,,W,W,W,W
1357-154,J2000,13h57m11.244974s,"-15d27'28.786530""",0,20cm,L,1.3,,,S,S,S,S
1357-154,J2000,13h57m11.244974s,"-15d27'28.786530""",1,6cm,C,2.4,,,P,P,P,P
1357-154,J2000,13h57m11.244974s,"-15d27'28.786530""",2,3.7cm,X,0.81,,,P,P,P,P
1357-154,J2000,13h57m11.244974s,"-15d27'28.786530""",3,2cm,U,0.6,,,S,S,S,S
1357-154,J2000,13h57m11.244974s,"-15d27'28.786530""",4,0.7cm,Q,0.7,,,W,W,W,W
1357+438,J2000,13h57m40.6762s,"43d53'59.671""",0,20cm,L,0.67,4.0,,,,S,S
1357+438,J2000,13h57m40.6762s,"43d53'59.671""",1,3.7cm,X,0.36,,,X,X,S,S
1357+767,J2000,13h57m55.371519s,"76d43'21.051110""",0,20cm,L,0.3,15.0,,S,S,X,X
1357+767,J2000,13h57m55.371519s,"76d43'21.051110""",1,6cm,C,0.6,,,S,S,S,S
1357+767,J2000,13h57m55.371519s,"76d43'21.051110""",2,3.7cm,X,0.98,,,P,P,P,P
1357+767,J2000,13h57m55.371519s,"76d43'21.051110""",3,2cm,U,0.4,,,S,S,S,S
1357+767,J2000,13h57m55.371519s,"76d43'21.051110""",4,0.7cm,Q,0.66,,,W,W,W,W
1358+476,J2000,13h58m40.6646s,"47d37'58.306""",0,20cm,L,0.6,4.0,,,,S,S
1358+476,J2000,13h58m40.6646s,"47d37'58.306""",1,3.7cm,X,0.27,,,X,X,S,S
1359+019,J2000,13h59m27.1478s,"01d59'54.543""",0,0.7cm,Q,0.49,,,W,W,W,W
1359+401,J2000,13h59m38.0943s,"40d11'38.260""",0,0.7cm,Q,0.29,,,W,W,W,W
1400+621,J2000,14h00m28.6526s,"62d10'38.526""",0,20cm,L,4.4,,,P,P,P,P
1400+621,J2000,14h00m28.6526s,"62d10'38.526""",1,6cm,C,1.72,,,P,P,P,P
1400+621,J2000,14h00m28.6526s,"62d10'38.526""",2,3.7cm,X,1.08,,400.0,S,P,P,P
1400+621,J2000,14h00m28.6526s,"62d10'38.526""",3,2cm,U,0.67,,400.0,X,S,S,S
1400+621,J2000,14h00m28.6526s,"62d10'38.526""",4,1.3cm,K,0.48,,400.0,X,X,S,S
1400+621,J2000,14h00m28.6526s,"62d10'38.526""",5,0.7cm,Q,0.28,,400.0,X,X,W,W
1404+658,J2000,14h04m05.2760s,"65d51'37.516""",0,20cm,L,2.0,6.0,75.0,S,P,P,X
1404+658,J2000,14h04m05.2760s,"65d51'37.516""",1,6cm,C,0.6,,75.0,X,X,S,S
1404+658,J2000,14h04m05.2760s,"65d51'37.516""",2,2cm,U,0.4,,75.0,X,X,X,S
1404+658,J2000,14h04m05.2760s,"65d51'37.516""",3,0.7cm,Q,0.0,,,X,X,X,X
1404-015,J2000,14h04m45.895457s,"-01d30'21.946690""",0,20cm,L,0.7,,,S,S,S,S
1404-015,J2000,14h04m45.895457s,"-01d30'21.946690""",1,6cm,C,0.6,,,S,S,S,S
1404-015,J2000,14h04m45.895457s,"-01d30'21.946690""",2,3.7cm,X,0.22,,,S,S,S,S
1404-015,J2000,14h04m45.895457s,"-01d30'21.946690""",3,2cm,U,0.2,,,X,X,X,X
1405+042,J2000,14h05m01.119812s,"04d15'35.818950""",0,20cm,L,0.7,,,X,X,X,X
1405+042,J2000,14h05m01.119812s,"04d15'35.818950""",1,6cm,C,0.7,200.0,,S,X,X,X
1405+042,J2000,14h05m01.119812s,"04d15'35.818950""",2,3.7cm,X,0.77,300.0,,S,X,X,X
1405+042,J2000,14h05m01.119812s,"04d15'35.818950""",3,2cm,U,0.4,300.0,,S,S,X,X
1405+042,J2000,14h05m01.119812s,"04d15'35.818950""",4,0.7cm,Q,0.3,,,W,W,W,W
1405+409,J2000,14h05m07.7949s,"40d56'57.847""",0,0.7cm,Q,0.13,,,W,W,W,W
1406+784,J2000,14h06m36.5695s,"78d28'10.420""",0,0.7cm,Q,0.13,,,W,W,W,W
1407+284,J2000,14h07m00.394410s,"28d27'14.689980""",0,20cm,L,0.8,,,P,P,P,P
1407+284,J2000,14h07m00.394410s,"28d27'14.689980""",1,6cm,C,2.8,,,P,P,P,P
1407+284,J2000,14h07m00.394410s,"28d27'14.689980""",2,3.7cm,X,1.95,,,P,P,P,P
1407+284,J2000,14h07m00.394410s,"28d27'14.689980""",3,2cm,U,1.3,,,P,P,P,P
1407+284,J2000,14h07m00.394410s,"28d27'14.689980""",4,0.7cm,Q,0.3,,,W,W,W,W
1408+562,J2000,14h08m12.9466s,"56d13'32.487""",0,0.7cm,Q,0.21,,,W,W,W,W
1408-078,J2000,14h08m56.481200s,"-07d52'26.666330""",0,20cm,L,0.85,15.0,,S,S,X,X
1408-078,J2000,14h08m56.481200s,"-07d52'26.666330""",1,6cm,C,0.78,,,P,P,P,P
1408-078,J2000,14h08m56.481200s,"-07d52'26.666330""",2,3.7cm,X,0.63,,,P,P,P,P
1408-078,J2000,14h08m56.481200s,"-07d52'26.666330""",3,2cm,U,0.6,,,S,S,S,S
